Posi	Sonar	Lidar	Fusion
0.07	65.24	80	67.32
0.13	69.45	80	70.94
0.2	73.66	80	74.55
0.26	67.35	80	69.13
0.33	65.24	80	67.32
0.39	69.45	80	70.94
0.46	63.14	80	65.51
0.52	67.35	80	69.13
0.59	63.14	80	65.51
0.65	69.45	80	70.94
0.72	73.66	80	74.55
0.79	67.35	80	69.13
0.85	65.24	80	67.32
0.92	67.35	80	69.13
0.98	65.24	80	67.32
1.05	69.45	80	70.94
1.11	65.24	80	67.32
1.18	67.35	80	69.13
1.24	71.56	80	72.75
1.31	69.45	34.99	64.61
1.37	65.24	37.15	61.3
1.44	69.45	41.32	65.5
1.51	63.14	48.03	61.02
1.57	46.3	54.57	47.46
1.64	48.41	65.71	50.84
1.7	44.2	77.93	48.94
1.77	42.09	77.93	47.13
1.83	44.2	76.89	48.79
1.9	44.2	80	49.23
1.96	44.2	80	49.23
2.03	44.2	80	49.23
2.09	80	80	80.0
2.16	48.41	80	52.85
2.23	42.09	47.06	42.79
2.29	44.2	45.03	44.31
2.36	44.2	42.44	43.95
2.42	42.09	49.73	43.17
2.49	42.09	52.43	43.55
2.55	44.2	56.13	45.88
2.62	52.62	44.45	51.47
2.68	46.3	33.06	44.44
2.75	35.78	34.27	35.57
2.81	23.15	38.21	25.27
2.88	23.15	42.97	25.94
2.95	21.05	42.7	24.09
3.01	21.05	45.62	24.5
3.08	23.15	52.56	27.29
3.14	18.94	36.47	21.41
3.21	18.94	31.15	20.66
3.27	23.15	31.2	24.28
3.34	23.15	34.51	24.75
3.4	21.05	38.8	23.54
3.47	23.15	43.61	26.03
3.53	39.99	43.98	40.55
3.6	46.3	46.85	46.38
3.67	58.93	32.67	55.24
3.6	65.24	32.51	60.64
3.53	65.24	10.77	57.59
3.47	23.15	9.64	21.25
3.4	63.14	10.07	55.68
3.34	52.62	10.51	46.7
3.27	42.09	11.03	37.73
3.21	35.78	11.52	32.37
3.14	23.15	12.09	21.6
3.08	23.15	12.74	21.69
3.01	23.15	13.41	21.78
2.95	21.05	14.18	20.08
2.88	18.94	14.97	18.38
2.81	18.94	15.82	18.5
2.75	23.15	16.78	22.26
2.68	21.05	17.98	20.62
2.62	23.15	19.18	22.59
2.55	23.15	20.5	22.78
2.49	33.67	22.16	32.06
2.42	44.2	24.02	41.36
2.36	50.51	26.04	47.07
2.29	58.93	28.69	54.68
2.23	44.2	31.35	42.39
2.16	44.2	34.69	42.86
2.09	44.2	35.88	43.03
2.03	44.2	40.18	43.63
1.96	42.09	42.44	42.14
1.9	42.09	49.38	43.12
1.83	46.3	55.84	47.64
1.77	46.3	65.71	49.03
1.7	44.2	66.1	47.28
1.64	44.2	80	49.23
1.57	44.2	80	49.23
1.51	42.09	77.93	47.13
1.44	44.2	80	49.23
1.37	44.2	80	49.23
1.31	46.3	71.35	49.82
1.24	48.41	62.56	50.4
1.18	69.45	72.26	69.85
1.11	65.24	80	67.32
1.05	69.45	80	70.94
0.98	73.66	80	74.55
0.92	71.56	80	72.75
0.85	65.24	80	67.32
0.79	71.56	80	72.75
0.72	63.14	80	65.51
0.65	80	71.13	78.75
0.59	80	80	80.0
0.52	80	80	80.0
0.46	80	80	80.0
0.39	80	21.1	71.72
0.33	80	22.38	71.9
0.26	80	24.37	72.18
0.2	80	26.48	72.48
0.13	80	29.08	72.84
0.07	80	32.08	73.26
0.0	80	35.69	73.77
-0.07	80	39.87	74.36
-0.13	80	26.71	72.51
-0.2	80	29.76	72.94
-0.26	52.62	32.51	49.79
-0.33	52.62	36.67	50.38
-0.39	50.51	34.27	48.23
-0.46	50.51	38.28	48.79
-0.52	50.51	43.33	49.5
-0.46	50.51	49.27	50.34
-0.39	50.51	57.77	51.53
-0.33	50.51	39.95	49.03
-0.26	50.51	45.52	49.81
-0.2	52.62	52.69	52.63
-0.13	50.51	61.34	52.03
-0.07	52.62	74.15	55.64
0.0	52.62	60.66	53.75
0.07	63.14	73.91	64.65
0.13	71.56	80	72.75
0.2	75.77	80	76.36
0.26	71.56	80	72.75
0.33	65.24	80	67.32
0.39	69.45	80	70.94
0.46	65.24	80	67.32
0.52	71.56	80	72.75
0.59	65.24	80	67.32
0.65	69.45	80	70.94
0.72	73.66	80	74.55
0.79	71.56	80	72.75
0.85	63.14	80	65.51
0.92	71.56	80	72.75
0.98	63.14	80	65.51
1.05	71.56	80	72.75
1.11	65.24	80	67.32
1.18	71.56	80	72.75
1.24	73.66	80	74.55
1.31	69.45	45.62	66.1
1.37	65.24	52.56	63.46
1.44	71.56	61.68	70.17
1.51	63.14	75.87	64.93
1.57	46.3	57.47	47.87
1.64	46.3	48.36	46.59
1.7	44.2	55.55	45.79
1.77	44.2	65.13	47.14
1.83	44.2	78.2	48.98
1.9	42.09	80	47.42
1.96	44.2	80	49.23
2.03	44.2	80	49.23
2.09	44.2	80	49.23
2.16	44.2	72.96	48.24
2.23	46.3	68.53	49.43
2.29	44.2	51.8	45.27
2.36	42.09	45.92	42.63
2.42	42.09	53.48	43.69
2.49	42.09	56.13	44.07
2.55	44.2	58.55	46.22
2.62	61.04	43.7	58.6
2.68	58.93	33.06	55.29
2.75	46.3	32.18	44.32
2.81	46.3	35.56	44.79
2.88	23.15	40.34	25.57
2.95	21.05	42.7	24.09
3.01	21.05	43.24	24.17
3.08	21.05	49.62	25.06
3.14	21.05	37.15	23.31
3.21	21.05	31.76	22.55
3.27	21.05	32.62	22.67
3.34	23.15	36.14	24.98
3.4	23.15	40.91	25.65
3.47	21.05	43.7	24.23
3.53	44.2	41.92	43.88
3.6	35.78	46.33	37.26
3.67	52.62	35.88	50.26
3.6	52.62	32.72	49.82
3.53	21.05	11.13	19.65
3.47	52.62	9.79	46.6
3.4	52.62	10.24	46.66
3.34	48.41	10.74	43.11
3.27	35.78	11.22	32.33
3.21	33.67	11.79	30.6
3.14	21.05	12.36	19.83
3.08	23.15	12.97	21.72
3.01	21.05	13.69	20.01
2.95	21.05	14.49	20.13
2.88	21.05	15.31	20.24
2.81	21.05	16.3	20.38
2.75	23.15	17.27	22.32
2.68	23.15	18.45	22.49
2.62	23.15	19.69	22.66
2.55	21.05	21.18	21.06
2.49	46.3	22.91	43.02
2.42	48.41	24.83	45.09
2.36	58.93	26.94	54.43
2.29	61.04	29.76	56.64
2.23	42.09	32.72	40.78
2.16	42.09	36.54	41.31
2.09	44.2	40.66	43.7
2.03	44.2	45.92	44.44
1.96	48.41	47.17	48.23
1.9	50.51	54.85	51.12
1.83	44.2	64.19	47.01
1.77	44.2	74.15	48.41
1.7	44.2	80	49.23
1.64	42.09	80	47.42
1.57	44.2	80	49.23
1.51	42.09	75.37	46.77
1.44	42.09	65.33	45.36
1.37	44.2	80	49.23
1.31	46.3	40.83	45.53
1.24	48.41	47.06	48.22
1.18	69.45	52.18	67.03
1.11	65.24	61.51	64.72
1.05	71.56	73.67	71.85
0.98	73.66	80	74.55
0.92	69.45	80	70.94
0.85	65.24	80	67.32
0.79	71.56	37.57	66.78
0.72	65.24	41.24	61.87
0.65	69.45	34.45	64.53
0.59	65.24	38.65	61.51
0.52	71.56	43.42	67.6
0.46	75.77	49.73	72.11
0.39	71.56	41.75	67.37
0.33	65.24	36.07	61.14
0.26	69.45	40.42	65.37
0.2	65.24	46.33	62.59
0.13	69.45	53.08	67.15
0.07	63.14	62.92	63.11
0.0	71.56	74.39	71.96
-0.07	80	68.95	78.45
-0.13	80	80	80.0
-0.2	80	80	80.0
-0.26	52.62	75.62	55.85
-0.33	50.51	80	54.66
-0.39	52.62	40.91	50.97
-0.46	52.62	46.96	51.82
-0.52	52.62	53.48	52.74
-0.46	50.51	44.26	49.63
-0.39	48.41	48.03	48.35
-0.33	50.51	52.56	50.8
-0.26	52.62	39.33	50.75
-0.2	52.62	44.93	51.54
-0.13	50.51	51.42	50.64
-0.07	50.51	60.83	51.96
0.0	52.62	72.03	55.35
0.07	80	80	80.0
0.13	80	80	80.0
0.2	80	80	80.0
0.26	80	80	80.0
0.33	80	80	80.0
0.39	80	80	80.0
0.46	80	80	80.0
0.52	80	80	80.0
0.59	80	80	80.0
0.65	80	80	80.0
0.72	80	80	80.0
0.79	80	80	80.0
0.85	80	80	80.0
0.92	80	80	80.0
0.98	80	80	80.0
1.05	80	80	80.0
1.11	80	80	80.0
1.18	80	80	80.0
1.24	75.77	80	76.36
1.31	71.56	80	72.75
1.37	65.24	80	67.32
1.44	69.45	80	70.94
1.51	65.24	80	67.32
1.57	46.3	80	51.04
1.64	46.3	80	51.04
1.7	44.2	80	49.23
1.77	44.2	76.12	48.69
1.83	44.2	73.67	48.34
1.9	42.09	80	47.42
1.96	42.09	80	47.42
2.03	42.09	80	47.42
2.09	46.3	80	51.04
2.16	46.3	76.12	50.49
2.23	48.41	60.33	50.08
2.29	44.2	54.16	45.6
2.36	44.2	41.24	43.78
2.42	42.09	47.17	42.81
2.49	44.2	52.69	45.39
2.55	44.2	50.09	45.03
2.62	54.72	39.33	52.56
2.68	50.51	31.82	47.88
2.75	46.3	33.39	44.49
2.81	44.2	36.87	43.17
2.88	23.15	42.35	25.85
2.95	23.15	43.42	26.0
3.01	23.15	44.55	26.16
3.08	23.15	51.42	27.12
3.14	21.05	40.5	23.78
3.21	21.05	38.65	23.52
3.27	21.05	38.57	23.51
3.34	23.15	43.33	25.99
3.4	23.15	47.81	26.62
3.47	23.15	42.53	25.87
3.53	35.78	39.63	36.32
3.6	48.41	44.26	47.82
3.67	52.62	29.67	49.39
3.6	52.62	31.87	49.7
3.53	23.15	10.97	21.44
3.47	52.62	10.19	46.65
3.4	58.93	10.66	52.15
3.34	50.51	11.2	44.99
3.27	33.67	11.72	30.59
3.21	21.05	12.32	19.82
3.14	23.15	12.97	21.72
3.08	21.05	13.68	20.01
3.01	23.15	14.4	21.92
2.95	21.05	15.37	20.25
2.88	21.05	16.23	20.37
2.81	21.05	17.22	20.51
2.75	21.05	18.36	20.67
2.68	21.05	19.73	20.86
2.62	21.05	21.13	21.06
2.55	21.05	22.74	21.29
2.49	48.41	24.8	45.09
2.42	48.41	27.09	45.41
2.36	42.09	29.67	40.35
2.29	44.2	32.72	42.59
2.23	44.2	36.67	43.14
2.16	42.09	40.58	41.88
2.09	44.2	45.23	44.34
2.03	50.51	47.92	50.15
1.96	44.2	47.6	44.68
1.9	42.09	55.27	43.95
1.83	44.2	64.38	47.03
1.77	44.2	75.37	48.58
1.7	44.2	52.3	45.34
1.64	44.2	61.68	46.66
1.57	44.2	73.43	48.31
1.51	44.2	80	49.23
1.44	44.2	79.27	49.13
1.37	46.3	80	51.04
1.31	48.41	30.95	45.95
1.24	48.41	34.75	46.49
1.18	67.35	39.17	63.39
1.11	65.24	44.64	62.35
1.05	71.56	51.05	68.68
0.98	73.66	59.03	71.61
0.92	69.45	70.9	69.66
0.85	63.14	80	65.51
0.79	69.45	80	70.94
0.72	63.14	80	65.51
0.65	69.45	80	70.94
0.59	63.14	80	65.51
0.52	69.45	80	70.94
0.46	73.66	80	74.55
0.39	71.56	80	72.75
0.33	65.24	80	67.32
0.26	69.45	80	70.94
0.2	65.24	80	67.32
0.13	67.35	80	69.13
0.07	65.24	80	67.32
0.0	71.56	66.89	70.9
-0.07	73.66	76.12	74.01
-0.13	71.56	76.63	72.27
-0.2	65.24	80	67.32
-0.26	52.62	58.71	53.47
-0.33	50.51	69.38	53.16
-0.39	50.51	49.27	50.34
-0.46	52.62	58.39	53.43
-0.52	52.62	68.53	54.85
-0.46	52.62	67.3	54.68
-0.39	48.41	79.82	52.82
-0.33	50.51	80	54.66
-0.26	52.62	80	56.47
-0.2	50.51	80	54.66
-0.13	52.62	80	56.47
-0.07	52.62	80	56.47
0.0	52.62	80	56.47
0.07	54.72	80	58.27
0.13	71.56	80	72.75
0.2	73.66	80	74.55
0.26	69.45	80	70.94
0.33	65.24	80	67.32
0.39	69.45	80	70.94
0.46	63.14	80	65.51
0.52	69.45	80	70.94
0.59	65.24	80	67.32
0.65	69.45	80	70.94
0.72	73.66	80	74.55
0.79	69.45	80	70.94
0.85	65.24	80	67.32
0.92	69.45	80	70.94
0.98	63.14	80	65.51
1.05	69.45	80	70.94
1.11	63.14	80	65.51
1.18	69.45	80	70.94
1.24	73.66	80	74.55
1.31	69.45	80	70.94
1.37	63.14	80	65.51
1.44	69.45	80	70.94
1.51	65.24	80	67.32
1.57	48.41	80	52.85
1.64	46.3	80	51.04
1.7	42.09	80	47.42
1.77	44.2	80	49.23
1.83	44.2	80	49.23
1.9	44.2	80	49.23
1.96	44.2	80	49.23
2.03	42.09	80	47.42
2.09	46.3	80	51.04
2.16	46.3	76.63	50.57
2.23	44.2	60.83	46.54
2.29	44.2	62.03	46.7
2.36	44.2	60.5	46.49
2.42	44.2	65.71	47.22
2.49	44.2	55.7	45.81
2.55	42.09	51.42	43.4
2.62	54.72	39.25	52.55
2.68	48.41	36.87	46.79
2.75	46.3	35.5	44.78
2.81	44.2	39.63	43.56
2.88	23.15	45.32	26.27
2.95	23.15	44.07	26.09
3.01	23.15	44.93	26.21
3.08	21.05	52.05	25.4
3.14	21.05	42.61	24.08
3.21	18.94	41.41	22.1
3.27	21.05	40.02	23.71
3.34	21.05	44.93	24.4
3.4	23.15	47.81	26.62
3.47	21.05	43.06	24.14
3.53	33.67	41.58	34.79
3.6	35.78	44.93	37.07
3.67	52.62	27.93	49.15
3.6	52.62	30.37	49.49
3.53	23.15	10.89	21.43
3.47	52.62	10.61	46.71
3.4	50.51	11.11	44.97
3.34	52.62	11.62	46.85
3.27	35.78	12.23	32.47
3.21	21.05	12.89	19.9
3.14	23.15	13.54	21.8
3.08	23.15	14.24	21.9
3.01	21.05	15.11	20.21
2.95	18.94	16.15	18.55
2.88	21.05	17.11	20.49
2.81	23.15	18.28	22.47
2.75	23.15	19.47	22.63
2.68	23.15	21.0	22.85
2.62	23.15	22.52	23.06
2.55	21.05	24.12	21.48
2.49	48.41	26.56	45.34
2.42	46.3	29.35	43.92
2.36	58.93	32.03	55.15
2.29	46.3	35.88	44.84
2.23	42.09	39.95	41.79
2.16	44.2	44.74	44.27
2.09	44.2	40.91	43.74
2.03	44.2	44.83	44.29
1.96	44.2	47.92	44.72
1.9	65.24	56.13	63.96
1.83	46.3	65.13	48.95
1.77	44.2	79.27	49.13
1.7	42.09	49.04	43.07
1.64	42.09	57.47	44.25
1.57	44.2	67.91	47.53
1.51	44.2	72.49	48.17
1.44	44.2	80	49.23
1.37	44.2	80	49.23
1.31	46.3	51.3	47.0
1.24	48.41	60.83	50.15
1.18	67.35	45.23	64.24
1.11	63.14	52.56	61.65
1.05	69.45	62.03	68.41
0.98	71.56	72.96	71.76
0.92	69.45	80	70.94
0.85	63.14	80	65.51
0.79	69.45	80	70.94
0.72	65.24	80	67.32
0.65	69.45	80	70.94
0.59	65.24	80	67.32
0.52	67.35	80	69.13
0.46	73.66	80	74.55
0.39	69.45	79.27	70.83
0.33	65.24	80	67.32
0.26	69.45	59.03	67.99
0.2	65.24	66.89	65.48
0.13	69.45	41.58	65.54
0.07	65.24	46.13	62.56
0.0	69.45	53.08	67.15
-0.07	71.56	62.03	70.22
-0.13	69.45	54.02	67.28
-0.2	65.24	64.01	65.07
-0.26	50.51	75.87	54.08
-0.33	52.62	80	56.47
-0.39	52.62	77.67	56.14
-0.46	52.62	80	56.47
-0.52	50.51	80	54.66
-0.46	52.62	80	56.47
-0.39	50.51	80	54.66
-0.33	48.41	51.67	48.87
-0.26	52.62	55.7	53.05
-0.2	52.62	66.49	54.57
-0.13	52.62	80	56.47
-0.07	52.62	80	56.47
0.0	52.62	80	56.47
0.07	52.62	80	56.47
0.13	69.45	80	70.94
0.2	73.66	80	74.55
0.26	69.45	80	70.94
0.33	65.24	80	67.32
0.39	69.45	80	70.94
0.46	63.14	80	65.51
0.52	69.45	80	70.94
0.59	63.14	80	65.51
0.65	69.45	80	70.94
0.72	73.66	80	74.55
0.79	67.35	80	69.13
0.85	63.14	80	65.51
0.92	69.45	80	70.94
0.98	65.24	80	67.32
1.05	69.45	80	70.94
1.11	65.24	80	67.32
1.18	69.45	80	70.94
1.24	73.66	80	74.55
1.31	69.45	56.57	67.64
1.37	63.14	63.64	63.21
1.44	69.45	76.38	70.43
1.51	63.14	80	65.51
1.57	46.3	80	51.04
1.64	46.3	80	51.04
1.7	46.3	80	51.04
1.77	44.2	72.26	48.14
1.83	42.09	80	47.42
1.9	44.2	80	49.23
1.96	44.2	80	49.23
2.03	44.2	80	49.23
2.09	44.2	72.26	48.14
2.16	44.2	74.39	48.44
2.23	80	71.58	78.82
2.29	44.2	72.96	48.24
2.36	42.09	56.28	44.09
2.42	44.2	58.87	46.26
2.49	44.2	52.18	45.32
2.55	42.09	50.93	43.34
2.62	58.93	43.15	56.71
2.68	54.72	33.68	51.76
2.75	46.3	34.51	44.64
2.81	46.3	38.57	45.22
2.88	23.15	43.88	26.07
2.95	23.15	42.53	25.87
3.01	21.05	43.7	24.23
3.08	23.15	50.44	26.99
3.14	21.05	38.72	23.53
3.21	18.94	40.1	21.92
3.27	21.05	39.33	23.62
3.34	21.05	44.17	24.3
3.4	23.15	46.54	26.44
3.47	23.15	42.88	25.92
3.53	35.78	42.18	36.68
3.6	35.78	45.23	37.11
3.67	52.62	28.26	49.19
3.6	52.62	31.15	49.6
3.53	21.05	11.46	19.7
3.47	65.24	10.87	57.6
3.4	50.51	11.39	45.01
3.34	50.51	12.0	45.1
3.27	35.78	12.57	32.52
3.21	21.05	13.28	19.96
3.14	23.15	13.97	21.86
3.08	21.05	14.75	20.16
3.01	21.05	15.66	20.29
2.95	18.94	16.67	18.62
2.88	18.94	17.71	18.77
2.81	21.05	18.97	20.75
2.75	23.15	20.36	22.76
2.68	21.05	21.87	21.16
2.62	21.05	23.53	21.4
2.55	21.05	25.54	21.68
2.49	46.3	27.93	43.72
2.42	48.41	30.9	45.95
2.36	61.04	34.27	57.27
2.29	52.62	38.43	50.62
2.23	44.2	42.97	44.03
2.16	44.2	43.51	44.1
2.09	42.09	31.92	40.66
2.03	42.09	35.37	41.15
1.96	80	39.25	74.27
1.9	63.14	45.23	60.62
1.83	44.2	51.17	45.18
1.77	44.2	60.0	46.42
1.7	44.2	48.93	44.86
1.64	42.09	57.47	44.25
1.57	42.09	67.5	45.66
1.51	42.09	71.58	46.24
1.44	46.3	65.52	49.0
1.37	44.2	80	49.23
1.31	46.3	74.15	50.22
1.24	48.41	77.41	52.48
1.18	69.45	48.93	66.57
1.11	65.24	57.32	64.13
1.05	69.45	66.3	69.01
0.98	73.66	80	74.55
0.92	69.45	80	70.94
0.85	63.14	80	65.51
0.79	67.35	80	69.13
0.72	63.14	80	65.51
0.65	69.45	80	70.94
0.59	65.24	80	67.32
0.52	67.35	77.93	68.84
0.46	73.66	80	74.55
0.39	69.45	47.6	66.38
0.33	65.24	52.95	63.52
0.26	67.35	62.38	66.65
0.2	63.14	75.12	64.82
0.13	69.45	80	70.94
0.07	65.24	80	67.32
0.0	69.45	50.93	66.85
-0.07	73.66	59.03	71.61
-0.13	67.35	63.46	66.8
-0.2	65.24	77.15	66.92
-0.26	50.51	80	54.66
-0.33	50.51	80	54.66
-0.39	50.51	52.43	50.78
-0.46	52.62	62.38	53.99
-0.52	52.62	74.63	55.71
-0.46	52.62	80	56.47
-0.39	50.51	80	54.66
-0.33	50.51	48.48	50.23
-0.26	52.62	42.26	51.16
-0.2	52.62	49.04	52.11
-0.13	50.51	57.17	51.45
-0.07	50.51	70.02	53.25
0.0	50.51	80	54.66
0.07	80	80	80.0
0.13	69.45	80	70.94
0.2	73.66	80	74.55
0.26	69.45	80	70.94
0.33	63.14	80	65.51
0.39	69.45	80	70.94
0.46	65.24	80	67.32
0.52	69.45	80	70.94
0.59	63.14	80	65.51
0.65	69.45	80	70.94
0.72	73.66	80	74.55
0.79	69.45	80	70.94
0.85	65.24	80	67.32
0.92	67.35	80	69.13
0.98	63.14	80	65.51
1.05	69.45	80	70.94
1.11	65.24	80	67.32
1.18	67.35	80	69.13
1.24	73.66	80	74.55
1.31	69.45	41.49	65.52
1.37	65.24	45.23	62.43
1.44	67.35	51.8	65.16
1.51	63.14	61.34	62.89
1.57	46.3	59.03	48.09
1.64	46.3	56.28	47.7
1.7	46.3	65.33	48.98
1.77	42.09	79.82	47.4
1.83	44.2	80	49.23
1.9	44.2	80	49.23
1.96	44.2	80	49.23
2.03	44.2	80	49.23
2.09	44.2	80	49.23
2.16	46.3	80	51.04
2.23	48.41	56.28	49.51
2.29	44.2	63.28	46.88
2.36	44.2	45.72	44.41
2.42	44.2	51.42	45.21
2.49	44.2	50.93	45.14
2.55	42.09	51.05	43.35
2.62	56.83	50.44	55.93
2.68	58.93	35.75	55.67
2.75	48.41	32.72	46.2
2.81	46.3	36.47	44.92
2.88	23.15	41.24	25.69
2.95	21.05	42.79	24.1
3.01	23.15	44.17	26.11
3.08	23.15	51.42	27.12
3.14	21.05	37.78	23.4
3.21	18.94	40.18	21.93
3.27	21.05	40.5	23.78
3.34	23.15	45.62	26.31
3.4	21.05	45.82	24.53
3.47	23.15	43.51	26.01
3.53	27.36	39.79	29.11
3.6	33.67	43.79	35.1
3.67	52.62	32.72	49.82
3.6	52.62	32.62	49.81
3.53	23.15	11.84	21.56
3.47	52.62	10.89	46.75
3.4	52.62	11.4	46.82
3.34	52.62	12.01	46.91
3.27	35.78	12.6	32.52
3.21	21.05	13.28	19.96
3.14	21.05	14.02	20.06
3.08	23.15	14.85	21.98
3.01	23.15	15.68	22.1
2.95	23.15	16.8	22.26
2.88	23.15	17.74	22.39
2.81	21.05	19.05	20.77
2.75	23.15	20.43	22.77
2.68	23.15	22.0	22.99
2.62	23.15	23.84	23.25
2.55	23.15	25.58	23.49
2.49	46.3	28.14	43.75
2.42	46.3	31.1	44.17
2.36	50.51	34.33	48.24
2.29	42.09	38.28	41.56
2.23	44.2	42.97	44.03
2.16	42.09	47.6	42.87
2.09	44.2	39.25	43.5
2.03	42.09	43.88	42.34
1.96	46.3	41.07	45.57
1.9	46.3	48.03	46.55
1.83	44.2	54.71	45.68
1.77	44.2	65.13	47.14
1.7	44.2	73.43	48.31
1.64	44.2	80	49.23
1.57	42.09	80	47.42
1.51	42.09	78.46	47.21
1.44	44.2	80	49.23
1.37	44.2	80	49.23
1.31	46.3	80	51.04
1.24	48.41	80	52.85
1.18	80	80	80.0
1.11	80	80	80.0
1.05	80	57.02	76.77
0.98	80	63.28	77.65
0.92	80	26.9	72.54
0.85	80	19.82	71.54
0.79	80	19.75	71.53
0.72	80	21.15	71.73
0.65	80	22.86	71.97
0.59	80	25.03	72.27
0.52	80	27.13	72.57
0.46	80	29.62	72.92
0.39	69.45	33.06	64.34
0.33	65.24	37.15	61.3
0.26	69.45	41.24	65.49
0.2	65.24	47.6	62.76
0.13	67.35	55.27	65.65
0.07	63.14	65.13	63.42
0.0	69.45	78.2	70.68
-0.07	73.66	80	74.55
-0.13	69.45	80	70.94
-0.2	63.14	80	65.51
-0.26	50.51	80	54.66
-0.33	50.51	61.17	52.01
-0.39	52.62	36.07	50.29
-0.46	80	41.83	74.63
-0.52	50.51	46.64	49.97
-0.46	52.62	54.16	52.83
-0.39	48.41	62.92	50.45
-0.33	48.41	43.61	47.73
-0.26	50.51	38.35	48.8
-0.2	52.62	43.88	51.39
-0.13	52.62	50.09	52.26
-0.07	52.62	58.55	53.45
0.0	52.62	67.09	54.65
0.07	54.72	80	58.27
0.13	69.45	80	70.94
0.2	71.56	80	72.75
0.26	67.35	80	69.13
0.33	63.14	80	65.51
0.39	69.45	80	70.94
0.46	63.14	80	65.51
0.52	67.35	80	69.13
0.59	63.14	80	65.51
0.65	69.45	80	70.94
0.72	73.66	80	74.55
0.79	69.45	80	70.94
0.85	63.14	80	65.51
0.92	67.35	80	69.13
0.98	65.24	80	67.32
1.05	69.45	80	70.94
1.11	63.14	80	65.51
1.18	80	27.05	72.56
1.24	80	28.39	72.75
1.31	80	27.57	72.63
1.37	80	18.11	71.3
1.44	79.98	17.76	71.23
1.51	79.98	19.11	71.42
1.57	80	20.48	71.63
1.64	63.14	22.16	57.38
1.7	63.14	23.93	57.63
1.77	80	25.86	72.39
1.83	71.56	28.47	65.5
1.9	67.35	31.56	62.32
1.96	56.83	35.06	53.77
2.03	54.72	39.1	52.53
2.09	48.41	44.07	47.8
2.16	50.51	51.17	50.6
2.23	48.41	52.18	48.94
2.29	50.51	35.43	48.39
2.36	48.41	37.01	46.81
2.42	48.41	41.75	47.47
2.49	56.83	47.92	55.57
2.55	56.83	48.36	55.64
2.62	58.93	44.07	56.84
2.68	58.93	37.08	55.86
2.75	48.41	35.56	46.6
2.81	48.41	39.87	47.21
2.88	79.98	44.26	74.96
2.95	50.51	42.53	49.39
3.01	23.15	43.15	25.96
3.08	23.15	49.62	26.87
3.14	21.05	37.78	23.4
3.21	21.05	41.07	23.86
3.27	33.67	41.24	34.74
3.34	46.3	45.92	46.25
3.4	21.05	47.92	24.82
3.47	18.94	43.33	22.37
3.53	21.05	39.48	23.64
3.6	23.15	43.7	26.04
3.67	58.93	34.81	55.54
3.6	50.51	32.29	47.95
3.53	65.24	11.49	57.69
3.47	67.35	10.48	59.36
3.4	52.62	10.99	46.77
3.34	52.62	11.56	46.85
3.27	21.05	12.09	19.79
3.21	21.05	12.72	19.88
3.14	18.94	13.43	18.17
3.08	21.05	14.1	20.07
3.01	48.41	14.95	43.7
2.95	23.15	15.88	22.13
2.88	18.94	16.83	18.65
2.81	21.05	18.0	20.62
2.75	23.15	19.16	22.59
2.68	23.15	20.67	22.8
2.62	50.51	22.19	46.53
2.55	56.83	23.93	52.2
2.49	46.3	26.04	43.45
2.42	48.41	28.35	45.59
2.36	69.45	31.61	64.13
2.29	54.72	35.06	51.96
2.23	56.83	38.8	54.29
2.16	54.72	44.26	53.25
2.09	50.51	46.03	49.88
2.03	50.51	52.18	50.75
1.96	48.41	47.71	48.31
1.9	48.41	43.7	47.75
1.83	48.41	49.97	48.63
1.77	48.41	47.92	48.34
1.7	48.41	51.42	48.83
1.64	48.41	45.03	47.93
1.57	69.45	47.49	66.37
1.51	69.45	54.71	67.38
1.44	77.87	63.64	75.87
1.37	77.87	69.59	76.71
1.31	77.87	57.77	75.05
1.24	79.98	69.16	78.46
1.18	80	34.69	73.63
1.11	79.98	29.58	72.89
1.05	80	21.45	71.77
0.98	80	21.58	71.79
0.92	80	23.41	72.05
0.85	65.24	25.79	59.7
0.79	69.45	28.06	63.63
0.72	65.24	31.05	60.44
0.65	67.35	34.21	62.69
0.59	63.14	38.5	59.68
0.52	69.45	43.33	65.78
0.46	71.56	49.27	68.43
0.39	67.35	57.62	65.98
0.33	63.14	68.95	63.96
0.26	67.35	80	69.13
0.2	65.24	80	67.32
0.13	67.35	80	69.13
0.07	63.14	80	65.51
0.0	69.45	80	70.94
-0.07	71.56	67.3	70.96
-0.13	69.45	47.17	66.32
-0.2	63.14	52.56	61.65
-0.26	52.62	30.37	49.49
-0.33	50.51	32.13	47.93
-0.39	50.51	35.37	48.38
-0.46	52.62	40.1	50.86
-0.52	50.51	45.42	49.8
-0.46	50.51	52.05	50.73
-0.39	48.41	61.86	50.3
-0.33	50.51	72.72	53.63
-0.26	50.51	49.85	50.42
-0.2	52.62	58.39	53.43
-0.13	52.62	69.16	54.94
-0.07	50.51	80	54.66
0.0	50.51	80	54.66
0.07	54.72	80	58.27
0.13	69.45	80	70.94
0.2	71.56	80	72.75
0.26	67.35	80	69.13
0.33	63.14	80	65.51
0.39	67.35	80	69.13
0.46	65.24	80	67.32
0.52	67.35	80	69.13
0.59	63.14	80	65.51
0.65	67.35	80	69.13
0.72	71.56	80	72.75
0.79	69.45	80	70.94
0.85	63.14	80	65.51
0.92	67.35	80	69.13
0.98	63.14	80	65.51
